text,test_axis,group,predicate,predicate_type,surface_subject,grammatical_person,chat_role,entity,persona_boundary,subject_span,predicate_span,token_positions
I am calm.,person_sensitivity,I,calm,state,I,first,unspecified,I,neutral,"[0, 1]","[5, 9]","{'subject': 1, 'predicate': 3, 'final': 3}"
You are calm.,person_sensitivity,you,calm,state,You,second,unspecified,you,neutral,"[0, 3]","[8, 12]","{'subject': 1, 'predicate': 3, 'final': 3}"
He is calm.,person_sensitivity,he,calm,state,He,third_pronoun,unspecified,he,neutral,"[0, 2]","[6, 10]","{'subject': 1, 'predicate': 3, 'final': 3}"
Bob is calm.,person_sensitivity,Bob,calm,state,Bob,third_named,unspecified,Bob,neutral,"[0, 3]","[7, 11]","{'subject': 1, 'predicate': 3, 'final': 3}"
I am ready.,person_sensitivity,I,ready,state,I,first,unspecified,I,neutral,"[0, 1]","[5, 10]","{'subject': 1, 'predicate': 3, 'final': 3}"
You are ready.,person_sensitivity,you,ready,state,You,second,unspecified,you,neutral,"[0, 3]","[8, 13]","{'subject': 1, 'predicate': 3, 'final': 3}"
He is ready.,person_sensitivity,he,ready,state,He,third_pronoun,unspecified,he,neutral,"[0, 2]","[6, 11]","{'subject': 1, 'predicate': 3, 'final': 3}"
Bob is ready.,person_sensitivity,Bob,ready,state,Bob,third_named,unspecified,Bob,neutral,"[0, 3]","[7, 12]","{'subject': 1, 'predicate': 3, 'final': 3}"
I feel tired.,person_sensitivity,I,tired,feeling,I,first,unspecified,I,neutral,"[0, 1]","[7, 12]","{'subject': 1, 'predicate': 3, 'final': 3}"
You feel tired.,person_sensitivity,you,tired,feeling,You,second,unspecified,you,neutral,"[0, 3]","[9, 14]","{'subject': 1, 'predicate': 3, 'final': 3}"
He feels tired.,person_sensitivity,he,tired,feeling,He,third_pronoun,unspecified,he,neutral,"[0, 2]","[9, 14]","{'subject': 1, 'predicate': 3, 'final': 3}"
Bob feels tired.,person_sensitivity,Bob,tired,feeling,Bob,third_named,unspecified,Bob,neutral,"[0, 3]","[10, 15]","{'subject': 1, 'predicate': 3, 'final': 3}"
I stay focused.,person_sensitivity,I,focused,state,I,first,unspecified,I,neutral,"[0, 1]","[7, 14]","{'subject': 1, 'predicate': 3, 'final': 3}"
You stay focused.,person_sensitivity,you,focused,state,You,second,unspecified,you,neutral,"[0, 3]","[9, 16]","{'subject': 1, 'predicate': 3, 'final': 3}"
He stays focused.,person_sensitivity,he,focused,state,He,third_pronoun,unspecified,he,neutral,"[0, 2]","[9, 16]","{'subject': 1, 'predicate': 3, 'final': 3}"
Bob stays focused.,person_sensitivity,Bob,focused,state,Bob,third_named,unspecified,Bob,neutral,"[0, 3]","[10, 17]","{'subject': 1, 'predicate': 3, 'final': 3}"
I remain patient.,person_sensitivity,I,patient,trait,I,first,unspecified,I,neutral,"[0, 1]","[9, 16]","{'subject': 1, 'predicate': 3, 'final': 3}"
You remain patient.,person_sensitivity,you,patient,trait,You,second,unspecified,you,neutral,"[0, 3]","[11, 18]","{'subject': 1, 'predicate': 3, 'final': 3}"
He remains patient.,person_sensitivity,he,patient,trait,He,third_pronoun,unspecified,he,neutral,"[0, 2]","[11, 18]","{'subject': 1, 'predicate': 3, 'final': 3}"
Bob remains patient.,person_sensitivity,Bob,patient,trait,Bob,third_named,unspecified,Bob,neutral,"[0, 3]","[12, 19]","{'subject': 1, 'predicate': 3, 'final': 3}"
I sound confused.,person_sensitivity,I,confused,state,I,first,unspecified,I,neutral,"[0, 1]","[8, 16]","{'subject': 1, 'predicate': 3, 'final': 3}"
You sound confused.,person_sensitivity,you,confused,state,You,second,unspecified,you,neutral,"[0, 3]","[10, 18]","{'subject': 1, 'predicate': 3, 'final': 3}"
He sounds confused.,person_sensitivity,he,confused,state,He,third_pronoun,unspecified,he,neutral,"[0, 2]","[10, 18]","{'subject': 1, 'predicate': 3, 'final': 3}"
Bob sounds confused.,person_sensitivity,Bob,confused,state,Bob,third_named,unspecified,Bob,neutral,"[0, 3]","[11, 19]","{'subject': 1, 'predicate': 3, 'final': 3}"
User: I am calm.,role_sensitivity,user,calm,state,I,first,user,assistant_self_or_user_self,neutral,"[6, 7]","[11, 15]","{'subject': 3, 'predicate': 5, 'final': 5}"
User: I am ready.,role_sensitivity,user,ready,state,I,first,user,assistant_self_or_user_self,neutral,"[6, 7]","[11, 16]","{'subject': 3, 'predicate': 5, 'final': 5}"
User: I can answer.,role_sensitivity,user,can answer,capacity,I,first,user,assistant_self_or_user_self,neutral,"[6, 7]","[8, 18]","{'subject': 3, 'predicate': 4, 'final': 5}"
User: You are calm.,role_sensitivity,user,calm,state,You,second,user,addressee,neutral,"[6, 9]","[14, 18]","{'subject': 3, 'predicate': 5, 'final': 5}"
User: You are ready.,role_sensitivity,user,ready,state,You,second,user,addressee,neutral,"[6, 9]","[14, 19]","{'subject': 3, 'predicate': 5, 'final': 5}"
User: You can answer.,role_sensitivity,user,can answer,capacity,You,second,user,addressee,neutral,"[6, 9]","[10, 20]","{'subject': 3, 'predicate': 4, 'final': 5}"
User: Bob is calm.,role_sensitivity,user,calm,state,Bob,third_named,user,Bob,neutral,"[6, 9]","[13, 17]","{'subject': 3, 'predicate': 5, 'final': 5}"
User: Bob is ready.,role_sensitivity,user,ready,state,Bob,third_named,user,Bob,neutral,"[6, 9]","[13, 18]","{'subject': 3, 'predicate': 5, 'final': 5}"
User: Bob can answer.,role_sensitivity,user,can answer,capacity,Bob,third_named,user,Bob,neutral,"[6, 9]","[10, 20]","{'subject': 3, 'predicate': 4, 'final': 5}"
User: The assistant is calm.,role_sensitivity,user,calm,state,The assistant,third_entity,user,assistant,neutral,"[6, 19]","[23, 27]","{'subject': 3, 'predicate': 6, 'final': 6}"
